time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,thrust,normalized_tau_x,normalized_tau_y,normalized_tau_z,normalized_thrust,throttle1,throttle2,throttle3,throttle4
1.24,0.0,0.0,-2.3004671688437988,0.0,0.0,-3.909717511196573,7.809413921187276,-0.09968590653806503,0.15505634526931072,-0.35498291975582,0.5307111057551666,0.7421683296249956,0.945989262810161,0.1,0.3346868305855096
1.25,0.0,0.0,-2.340041327684376,0.0,0.0,-3.957415884057716,7.560244070828595,-0.09432156113636736,0.14865701956944327,-0.3422426607392116,0.5137780544226024,0.7173510472368292,0.9144470473767577,0.1,0.3233141230768227
1.26,0.0,0.0,-2.3801100651534224,0.0,0.0,-4.006873746904661,7.29632057295824,-0.08863958637030822,0.14187878207285426,-0.3287480356126269,0.495842376687614,0.6910643036115767,0.8810371793057186,0.1,0.3112680238331607
1.27,0.0,0.0,-2.4206920965969956,0.0,0.0,-4.0582031443573205,7.015590382101182,-0.08259578249004759,0.13466890526595243,-0.31439407047538287,0.4767645519606648,0.6631036157058993,0.8454997651846798,0.1,0.29845482695208025
1.28,0.0,0.0,-2.46180742934153,0.0,0.0,-4.111533274453467,6.715480485578106,-0.07613475543922232,0.12696130753356172,-0.29904920507674965,0.45636972379056107,0.6332127118153391,0.8075090893617393,0.1,0.28475709398516585
1.29,0.0,0.0,-2.503477582665138,0.0,0.0,-4.167015332360772,6.392691313904158,-0.06918546921420632,0.11867124740406154,-0.2825447297200291,0.4344336604759876,0.6010629552788113,0.7666474619302774,0.1,0.2700242246948616
1.3,0.0,0.0,-2.545725877949579,0.0,0.0,-4.224829528444052,6.042870587508005,-0.061654224152412423,0.1096869470902366,-0.2646581087775295,0.4106605903845059,0.5662208596572519,0.7223639312415789,0.1,0.2540575706391928
1.31,0.0,0.0,-2.588577835223468,0.0,0.0,-4.285195727388915,5.660070158270448,-0.05341296334420326,0.09985564277627618,-0.24508520855250265,0.3846462900625517,0.5280939902265229,0.6739055259022928,0.1,0.23658564412139113
1.32,0.0,0.0,-2.632061740649072,0.0,0.0,-4.348390542560404,5.23577772427673,-0.04427842654533737,0.08895871655022261,-0.22339078805947013,0.35581228163620315,0.48583452290161633,0.6201946803062951,0.1,0.21721992333690104
1.33,0.0,0.0,-2.6762095108903496,0.0,0.0,-4.414777024127758,4.757027764896768,-0.033971480743243354,0.07666318033482375,-0.19891190958395905,0.32327745599026625,0.4381510936337796,0.5595900993918784,0.1,0.19536863093540718
1.34,0.0,0.0,-2.721058133072792,0.0,0.0,-4.484862218244227,4.202220882529734,-0.022027115307491157,0.06241430577923884,-0.170544178193592,0.2855739641542463,0.3828924054306096,0.4893575324004677,0.1,0.17004591878590783
1.35,0.0,0.0,-2.7666524276057887,0.0,0.0,-4.559429453299676,3.529914741682615,-0.007553123570550463,0.04514774660641557,-0.1361686132505668,0.23988547344088446,0.3159308074496202,0.4042508266683189,0.1,0.1393602596455987
1.36,0.0,0.0,-2.813051609614985,0.0,0.0,-4.6399182009196105,2.64168785700978,0.011060914208267159,0.022703413448460802,-0.09008418650497309,0.1795234697254353,0.22694369645248144,0.29115018244925966,0.1,0.1
1.37,0.0,0.0,-2.860333691624181,0.0,0.0,-4.72820820091961,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.3800000000000001,0.0,0.0,-2.908498673633377,0.0,0.0,-4.81649820091961,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
1.3900000000000001,0.0,0.0,-2.957546555642573,0.0,0.0,-4.90478820091961,1.4715000000000003,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
